,time,hood,title,url,price,bedroom_count,sqft
95,2020-12-01 17:50, (lower nob hill),Beautiful Studio Apt. in Lower Nob Hill!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-apt-in/7240222431.html,1395,,
96,2020-12-01 17:49, (mission district),MOVE IN NOW AND DON'T PAY UNTIL  JANUARY 2021 EFFECTIVE RENT $1450,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-now-and-dont-pay/7240222287.html,1450,,240.0
97,2020-12-01 17:48, (russian hill),Spacious Studio Apartment/2455 Polk St,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-studio-apartment/7240215189.html,1850,,
98,2020-12-01 17:47, (mission district),MOVE NOW AND DON'T PAY UNTIL JANUARY 2021 EFFECTIVE RENT $1425,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-now-and-dont-pay/7240221295.html,1425,,232.0
99,2020-12-01 17:46, (downtown / civic / van ness),Affordable Studio Apartment/837 Geary,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-affordable-studio/7240215297.html,1500,,
100,2020-12-01 17:46, (pacific heights),Spacious Studio in Pacific Heights!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-studio-in/7240220733.html,1695,,
101,2020-12-01 17:45, (marina / cow hollow),Beautiful Studio Apt on Chestnut!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-apt-on/7240220622.html,1995,,
102,2020-12-01 17:45, (mission district),MOVE IN NOW AND DON'T PAY UNTIL JANUARY 2021 EFFECTIVE RENT $1425,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-now-and-dont-pay/7240220341.html,1425,,232.0
103,2020-12-01 17:44, (SOMA / south beach),1 Bed Loft Style Apartment~ <3 Heart of SOMA,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bed-loft-style-apartment/7240213259.html,2000,1,395.0
104,2020-12-01 17:41, (mission district),MOVE IN NOW AND DON'T PAY UNTIL  JANUARY!! EFFECTIVE RENT $1425,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-now-and-dont-pay/7240218868.html,1425,,232.0
105,2020-12-01 17:41, (downtown / civic / van ness),Spacious Remodeled Studio Apartment/837 Geary,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-remodeled-studio/7240215490.html,1750,,
106,2020-12-01 17:40, (downtown / civic / van ness),Remodeled One Bedroom Apartment/760 Geary,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-one-bedroom/7240209044.html,1950,1,
107,2020-12-01 17:40, (mission district),DECEMBER IS ABSALUTLY FREE EFFECTIVE RENT $1625 UTILITIES PAID,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-december-is-absalutly/7233707344.html,1625,,260.0
108,2020-12-01 17:40, (lower nob hill),"Huge Studio, Great Location/427 Stockton",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-studio-great/7240215054.html,1500,,
109,2020-12-01 17:39, (downtown / civic / van ness),Rent yourself an amazing holiday present at 50 Jones today!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rent-yourself-an-amazing/7240218145.html,2066,1,526.0
110,2020-12-01 17:38, (SOMA / south beach),"Six Weeks Of Free Luxury, On Us",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-six-weeks-of-free-luxury/7240184088.html,1834,,450.0
111,2020-12-01 17:37, (nob hill),Prime Location One Bedroom Apartment/770 California,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-prime-location-one/7240209145.html,2050,1,
112,2020-12-01 17:36, (lower nob hill),Affordable Studio Apartment/766 Sutter,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-affordable-studio/7240212410.html,1500,,
113,2020-12-01 17:34, (nob hill),Light & bright APT in Nob Hill - see YouTube Video Tour!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-light-bright-apt-in-nob/7240203616.html,2095,1,
114,2020-12-01 17:32, (downtown / civic / van ness),1x1 Zen garden facing home with AMAZING specials & Self guided tours!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1x1-zen-garden-facing/7240214649.html,1713,1,531.0
115,2020-12-01 17:31, (lower nob hill),Lovely apartment with hardwood floors in Lower Nob Hill!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lovely-apartment-with/7240203961.html,2095,1,535.0
116,2020-12-01 17:30, (lower nob hill),Great Location Studio Apartment/427 Stockton,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-location-studio/7240208831.html,1400,,
117,2020-12-01 17:29, (San Francisco),Don't break the bank,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dont-break-the-bank/7240198133.html,1721,,601.0
118,2020-12-01 17:26, (downtown / civic / van ness),Spacious Studio home 3 months FREE! self guided tours! Call now!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-studio-home/7240212315.html,1356,,492.0
119,2020-12-01 17:24, (lower nob hill),Adorable San Francisco Flat,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-adorable-san-francisco/7240195986.html,2250,1,
